dld_name,common_name,lat,lon,coord_confidence,note
Jabal Ali First,Discovery Gardens and Al Furjan,25.0330,55.1420,medium,covers a large sector
Jabal Ali Industrial First,Jebel Ali Industrial,25.0000,55.1100,low,
Mena Jabal Ali,Jebel Ali Port,24.9880,55.0620,low,
Me'Aisem First,Dubai Production City,25.0300,55.2000,medium,IMPZ
Al Goze Industrial First,Al Quoz Industrial,25.1450,55.2350,low,
Al Goze Industrial Second,Al Quoz Industrial,25.1380,55.2280,low,
Al Goze Industrial Third,Al Quoz Industrial,25.1320,55.2400,low,
Al Goze Industrial Fourth,Al Quoz Industrial,25.1280,55.2320,low,
Al Khairan First,Dubai Creek Harbour,25.1980,55.3520,medium,
Al Jadaf,Al Jaddaf,25.2250,55.3300,medium,
Al Safouh First,Al Sufouh and Knowledge Village,25.1070,55.1650,medium,
Al Safouh Second,Al Sufouh,25.1150,55.1720,low,
Umm Suqeim Third,Umm Suqeim,25.1500,55.2000,medium,
Umm Suqeim Second,Umm Suqeim,25.1600,55.2100,low,
Umm Suqeim First,Umm Suqeim,25.1700,55.2200,low,
Jumeirah First,Jumeirah,25.2320,55.2670,medium,
Jumeirah Second,Jumeirah,25.2130,55.2530,medium,
Jumeirah Third,Jumeirah,25.1930,55.2380,medium,
Al Wasl,Al Wasl and City Walk,25.1950,55.2550,medium,
Al Satwa,Satwa,25.2300,55.2750,medium,
Al Karama,Karama,25.2450,55.3000,medium,
Al Raffa,Bur Dubai,25.2560,55.2960,low,
Al Muraqqabat,Deira,25.2710,55.3120,medium,
Al Rigga,Deira,25.2660,55.3200,low,
Port Saeed,Deira and Festival City side,25.2510,55.3320,low,
Hor Al Anz,Hor Al Anz,25.2820,55.3320,low,
Hor Al Anz East,Hor Al Anz,25.2860,55.3400,low,
Al Nahda Second,Al Nahda,25.2940,55.3720,medium,
Al Qusais Industrial First,Al Qusais Industrial,25.2800,55.3800,low,
Muhaisanah Fourth,Muhaisnah,25.2700,55.4000,low,
Mirdif,Mirdif,25.2160,55.4200,medium,
Nad Al Hamar,Nad Al Hamar,25.2000,55.3750,low,
Al Warqa'a First,Al Warqa,25.1900,55.3900,low,
Al Yelayiss 2,Town Square,25.0050,55.2700,medium,
Al Yelayiss 1,Dubailand south,24.9950,55.2800,low,
Wadi Al Safa 2,Liwan and Dubailand,25.0900,55.3300,low,
Wadi Al Safa 3,Arabian Ranches 2,25.0200,55.2800,low,
Wadi Al Safa 5,Dubailand and Majan,25.0550,55.2900,medium,
Wadi Al Safa 7,Majan,25.0700,55.3000,low,
Madinat Al Mataar,Dubai South,24.8960,55.1610,medium,
Madinat Dubai Almelaheyah,Dubai Maritime City,25.2680,55.2810,low,
Nakhlat Deira,Dubai Islands,25.2950,55.3100,medium,
Dubai Investment Park First,Dubai Investment Park,24.9850,55.1700,medium,
Dubai Investment Park Second,Dubai Investment Park,24.9700,55.1550,low,
Ras Al Khor Industrial First,Ras Al Khor,25.1800,55.3300,low,
Emirates Hills First,Emirates Hills and The Meadows,25.0650,55.1750,medium,
Emirates Hills Second,The Springs,25.0580,55.1850,medium,
Emirates Hills Third,The Lakes,25.0720,55.1900,low,
Saih Shuaib 2,Dubai Industrial City,24.8300,55.0300,low,
Al Aweer First,Al Aweer,25.1700,55.4200,low,
Um Ramool,Umm Ramool,25.2300,55.3600,low,
